nohup: ignoring input
[*] Initializing face detection and recognition models...
[*] Loaded 33 camera IDs
[*] Connecting to databases...
[*] Processing up to 116519 records starting from offset 100...
[+] Processed: 1352, Inserted: 1190, Skipped: 162
[+] Processed: 1362, Inserted: 1200, Skipped: 162
[+] Processed: 1372, Inserted: 1210, Skipped: 162
[+] Processed: 1384, Inserted: 1220, Skipped: 164
[+] Processed: 1394, Inserted: 1230, Skipped: 164
[+] Processed: 1404, Inserted: 1240, Skipped: 164
[+] Processed: 1414, Inserted: 1250, Skipped: 164
[+] Processed: 1424, Inserted: 1260, Skipped: 164
[+] Processed: 1436, Inserted: 1270, Skipped: 166
[+] Processed: 1446, Inserted: 1280, Skipped: 166
[+] Processed: 1456, Inserted: 1290, Skipped: 166
[+] Processed: 1468, Inserted: 1300, Skipped: 168
[+] Processed: 1478, Inserted: 1310, Skipped: 168
[+] Processed: 1488, Inserted: 1320, Skipped: 168
[+] Processed: 1498, Inserted: 1330, Skipped: 168
[+] Processed: 1508, Inserted: 1340, Skipped: 168
[+] Processed: 1518, Inserted: 1350, Skipped: 168
[+] Processed: 1530, Inserted: 1360, Skipped: 170
[+] Processed: 1540, Inserted: 1370, Skipped: 170
[+] Processed: 1550, Inserted: 1380, Skipped: 170
[+] Processed: 1560, Inserted: 1390, Skipped: 170
[+] Processed: 1572, Inserted: 1400, Skipped: 172
[+] Processed: 1582, Inserted: 1410, Skipped: 172
[+] Processed: 1592, Inserted: 1420, Skipped: 172
[+] Processed: 1602, Inserted: 1430, Skipped: 172
[+] Processed: 1612, Inserted: 1440, Skipped: 172
[+] Processed: 1622, Inserted: 1450, Skipped: 172
[+] Processed: 1632, Inserted: 1460, Skipped: 172
[+] Processed: 1642, Inserted: 1470, Skipped: 172
[+] Processed: 1652, Inserted: 1480, Skipped: 172
[+] Processed: 1666, Inserted: 1490, Skipped: 176
[+] Processed: 1676, Inserted: 1500, Skipped: 176
[+] Processed: 1686, Inserted: 1510, Skipped: 176
[+] Processed: 1696, Inserted: 1520, Skipped: 176
[+] Processed: 1706, Inserted: 1530, Skipped: 176
[+] Processed: 1716, Inserted: 1540, Skipped: 176
[+] Processed: 1732, Inserted: 1550, Skipped: 182
[+] Processed: 1742, Inserted: 1560, Skipped: 182
[+] Processed: 1752, Inserted: 1570, Skipped: 182
[+] Processed: 1762, Inserted: 1580, Skipped: 182
[+] Processed: 1772, Inserted: 1590, Skipped: 182
[+] Processed: 1784, Inserted: 1600, Skipped: 184
[+] Processed: 1794, Inserted: 1610, Skipped: 184
[+] Processed: 1806, Inserted: 1620, Skipped: 186
[+] Processed: 1816, Inserted: 1630, Skipped: 186
[+] Processed: 1826, Inserted: 1640, Skipped: 186
[+] Processed: 1838, Inserted: 1650, Skipped: 188
[+] Processed: 1850, Inserted: 1660, Skipped: 190
[+] Processed: 1860, Inserted: 1670, Skipped: 190
[+] Processed: 1870, Inserted: 1680, Skipped: 190
[+] Processed: 1880, Inserted: 1690, Skipped: 190
[+] Processed: 1890, Inserted: 1700, Skipped: 190
[+] Processed: 1900, Inserted: 1710, Skipped: 190
[+] Processed: 1910, Inserted: 1720, Skipped: 190
[+] Processed: 1920, Inserted: 1730, Skipped: 190
[+] Processed: 1930, Inserted: 1740, Skipped: 190
[+] Processed: 1940, Inserted: 1750, Skipped: 190
[+] Processed: 1950, Inserted: 1760, Skipped: 190
[+] Processed: 1960, Inserted: 1770, Skipped: 190
[+] Processed: 1970, Inserted: 1780, Skipped: 190
[+] Processed: 1980, Inserted: 1790, Skipped: 190
[+] Processed: 1990, Inserted: 1800, Skipped: 190
[+] Processed: 2000, Inserted: 1810, Skipped: 190
[+] Processed: 2010, Inserted: 1820, Skipped: 190
[+] Processed: 2020, Inserted: 1830, Skipped: 190
[+] Processed: 2030, Inserted: 1840, Skipped: 190
[+] Processed: 2042, Inserted: 1850, Skipped: 192
[+] Processed: 2052, Inserted: 1860, Skipped: 192
[+] Processed: 2062, Inserted: 1870, Skipped: 192
[+] Processed: 2072, Inserted: 1880, Skipped: 192
[+] Processed: 2084, Inserted: 1890, Skipped: 194
[+] Processed: 2096, Inserted: 1900, Skipped: 196
[+] Processed: 2106, Inserted: 1910, Skipped: 196
[+] Processed: 2116, Inserted: 1920, Skipped: 196
[+] Processed: 2126, Inserted: 1930, Skipped: 196
[+] Processed: 2136, Inserted: 1940, Skipped: 196
[+] Processed: 2146, Inserted: 1950, Skipped: 196
[+] Processed: 2156, Inserted: 1960, Skipped: 196
[+] Processed: 2166, Inserted: 1970, Skipped: 196
[+] Processed: 2180, Inserted: 1980, Skipped: 200
[+] Processed: 2190, Inserted: 1990, Skipped: 200
[+] Processed: 2200, Inserted: 2000, Skipped: 200
[+] Processed: 2210, Inserted: 2010, Skipped: 200
[+] Processed: 2220, Inserted: 2020, Skipped: 200
[+] Processed: 2230, Inserted: 2030, Skipped: 200
[+] Processed: 2242, Inserted: 2040, Skipped: 202
[+] Processed: 2252, Inserted: 2050, Skipped: 202
[+] Processed: 2262, Inserted: 2060, Skipped: 202
[+] Processed: 2272, Inserted: 2070, Skipped: 202
[+] Processed: 2282, Inserted: 2080, Skipped: 202
[+] Processed: 2292, Inserted: 2090, Skipped: 202
[+] Processed: 2302, Inserted: 2100, Skipped: 202
[+] Processed: 2312, Inserted: 2110, Skipped: 202
[+] Processed: 2322, Inserted: 2120, Skipped: 202
[+] Processed: 2332, Inserted: 2130, Skipped: 202
[+] Processed: 2342, Inserted: 2140, Skipped: 202
[+] Processed: 2352, Inserted: 2150, Skipped: 202
[+] Processed: 2364, Inserted: 2160, Skipped: 204
[+] Processed: 2374, Inserted: 2170, Skipped: 204
[+] Processed: 2384, Inserted: 2180, Skipped: 204
[+] Processed: 2394, Inserted: 2190, Skipped: 204
[+] Processed: 2406, Inserted: 2200, Skipped: 206
[+] Processed: 2416, Inserted: 2210, Skipped: 206
[+] Processed: 2426, Inserted: 2220, Skipped: 206
[+] Processed: 2438, Inserted: 2230, Skipped: 208
[+] Processed: 2448, Inserted: 2240, Skipped: 208
[+] Processed: 2460, Inserted: 2250, Skipped: 210
[+] Processed: 2470, Inserted: 2260, Skipped: 210
[+] Processed: 2482, Inserted: 2270, Skipped: 212
[+] Processed: 2492, Inserted: 2280, Skipped: 212
[+] Processed: 2502, Inserted: 2290, Skipped: 212
[+] Processed: 2514, Inserted: 2300, Skipped: 214
[+] Processed: 2524, Inserted: 2310, Skipped: 214
[+] Processed: 2534, Inserted: 2320, Skipped: 214
[+] Processed: 2548, Inserted: 2330, Skipped: 218
[+] Processed: 2558, Inserted: 2340, Skipped: 218
[+] Processed: 2568, Inserted: 2350, Skipped: 218
[+] Processed: 2578, Inserted: 2360, Skipped: 218
[+] Processed: 2588, Inserted: 2370, Skipped: 218
[+] Processed: 2598, Inserted: 2380, Skipped: 218
[+] Processed: 2610, Inserted: 2390, Skipped: 220
[+] Processed: 2622, Inserted: 2400, Skipped: 222
[+] Processed: 2634, Inserted: 2410, Skipped: 224
[+] Processed: 2648, Inserted: 2420, Skipped: 228
[+] Processed: 2660, Inserted: 2430, Skipped: 230
[+] Processed: 2672, Inserted: 2440, Skipped: 232
[+] Processed: 2682, Inserted: 2450, Skipped: 232
[+] Processed: 2694, Inserted: 2460, Skipped: 234
[+] Processed: 2708, Inserted: 2470, Skipped: 238
[+] Processed: 2718, Inserted: 2480, Skipped: 238
[+] Processed: 2728, Inserted: 2490, Skipped: 238
[+] Processed: 2738, Inserted: 2500, Skipped: 238
[+] Processed: 2748, Inserted: 2510, Skipped: 238
[+] Processed: 2758, Inserted: 2520, Skipped: 238
[+] Processed: 2770, Inserted: 2530, Skipped: 240
[+] Processed: 2780, Inserted: 2540, Skipped: 240
[+] Processed: 2790, Inserted: 2550, Skipped: 240
[+] Processed: 2800, Inserted: 2560, Skipped: 240
[+] Processed: 2810, Inserted: 2570, Skipped: 240
[+] Processed: 2820, Inserted: 2580, Skipped: 240
[+] Processed: 2832, Inserted: 2590, Skipped: 242
[+] Processed: 2842, Inserted: 2600, Skipped: 242
[+] Processed: 2852, Inserted: 2610, Skipped: 242
[+] Processed: 2862, Inserted: 2620, Skipped: 242
[+] Processed: 2872, Inserted: 2630, Skipped: 242
[+] Processed: 2882, Inserted: 2640, Skipped: 242
[+] Processed: 2896, Inserted: 2650, Skipped: 246
[+] Processed: 2906, Inserted: 2660, Skipped: 246
[+] Processed: 2916, Inserted: 2670, Skipped: 246
[+] Processed: 2928, Inserted: 2680, Skipped: 248
[+] Processed: 2942, Inserted: 2690, Skipped: 252
[+] Processed: 2954, Inserted: 2700, Skipped: 254
[+] Processed: 2966, Inserted: 2710, Skipped: 256
[+] Processed: 2978, Inserted: 2720, Skipped: 258
[+] Processed: 2988, Inserted: 2730, Skipped: 258
[+] Processed: 2998, Inserted: 2740, Skipped: 258
[+] Processed: 3008, Inserted: 2750, Skipped: 258
[+] Processed: 3018, Inserted: 2760, Skipped: 258
[+] Processed: 3030, Inserted: 2770, Skipped: 260
[+] Processed: 3044, Inserted: 2780, Skipped: 264
[+] Processed: 3056, Inserted: 2790, Skipped: 266
[+] Processed: 3066, Inserted: 2800, Skipped: 266
[+] Processed: 3076, Inserted: 2810, Skipped: 266
[+] Processed: 3090, Inserted: 2820, Skipped: 270
[+] Processed: 3100, Inserted: 2830, Skipped: 270
[+] Processed: 3112, Inserted: 2840, Skipped: 272
[+] Processed: 3122, Inserted: 2850, Skipped: 272
[+] Processed: 3136, Inserted: 2860, Skipped: 276
[+] Processed: 3152, Inserted: 2870, Skipped: 282
[+] Processed: 3162, Inserted: 2880, Skipped: 282
[+] Processed: 3174, Inserted: 2890, Skipped: 284
[+] Processed: 3184, Inserted: 2900, Skipped: 284
[+] Processed: 3194, Inserted: 2910, Skipped: 284
[+] Processed: 3206, Inserted: 2920, Skipped: 286
[+] Processed: 3218, Inserted: 2930, Skipped: 288
[+] Processed: 3228, Inserted: 2940, Skipped: 288
[+] Processed: 3238, Inserted: 2950, Skipped: 288
[+] Processed: 3248, Inserted: 2960, Skipped: 288
[+] Processed: 3258, Inserted: 2970, Skipped: 288
[+] Processed: 3268, Inserted: 2980, Skipped: 288
[+] Processed: 3280, Inserted: 2990, Skipped: 290
[+] Processed: 3290, Inserted: 3000, Skipped: 290
[+] Processed: 3300, Inserted: 3010, Skipped: 290
[+] Processed: 3310, Inserted: 3020, Skipped: 290
[+] Processed: 3320, Inserted: 3030, Skipped: 290
[+] Processed: 3332, Inserted: 3040, Skipped: 292
[+] Processed: 3346, Inserted: 3050, Skipped: 296
[+] Processed: 3358, Inserted: 3060, Skipped: 298
[+] Processed: 3370, Inserted: 3070, Skipped: 300
[+] Processed: 3380, Inserted: 3080, Skipped: 300
[+] Processed: 3390, Inserted: 3090, Skipped: 300
[+] Processed: 3400, Inserted: 3100, Skipped: 300
[+] Processed: 3412, Inserted: 3110, Skipped: 302
[+] Processed: 3422, Inserted: 3120, Skipped: 302
[+] Processed: 3432, Inserted: 3130, Skipped: 302
[+] Processed: 3444, Inserted: 3140, Skipped: 304
[+] Processed: 3454, Inserted: 3150, Skipped: 304
[+] Processed: 3464, Inserted: 3160, Skipped: 304
[+] Processed: 3474, Inserted: 3170, Skipped: 304
[+] Processed: 3484, Inserted: 3180, Skipped: 304
[+] Processed: 3494, Inserted: 3190, Skipped: 304
[+] Processed: 3504, Inserted: 3200, Skipped: 304
[+] Processed: 3514, Inserted: 3210, Skipped: 304
[+] Processed: 3524, Inserted: 3220, Skipped: 304
[+] Processed: 3538, Inserted: 3230, Skipped: 308
[+] Processed: 3548, Inserted: 3240, Skipped: 308
[+] Processed: 3558, Inserted: 3250, Skipped: 308
[+] Processed: 3572, Inserted: 3260, Skipped: 312
[+] Processed: 3582, Inserted: 3270, Skipped: 312
[+] Processed: 3592, Inserted: 3280, Skipped: 312
[+] Processed: 3604, Inserted: 3290, Skipped: 314
[+] Processed: 3614, Inserted: 3300, Skipped: 314
[+] Processed: 3624, Inserted: 3310, Skipped: 314
[+] Processed: 3634, Inserted: 3320, Skipped: 314
[+] Processed: 3644, Inserted: 3330, Skipped: 314
[+] Processed: 3654, Inserted: 3340, Skipped: 314
[+] Processed: 3664, Inserted: 3350, Skipped: 314
[+] Processed: 3674, Inserted: 3360, Skipped: 314
[+] Processed: 3684, Inserted: 3370, Skipped: 314
[+] Processed: 3694, Inserted: 3380, Skipped: 314
[+] Processed: 3704, Inserted: 3390, Skipped: 314
[+] Processed: 3714, Inserted: 3400, Skipped: 314
[+] Processed: 3724, Inserted: 3410, Skipped: 314
[+] Processed: 3738, Inserted: 3420, Skipped: 318
[+] Processed: 3750, Inserted: 3430, Skipped: 320
[+] Processed: 3762, Inserted: 3440, Skipped: 322
[+] Processed: 3774, Inserted: 3450, Skipped: 324
[+] Processed: 3784, Inserted: 3460, Skipped: 324
[+] Processed: 3794, Inserted: 3470, Skipped: 324
[+] Processed: 3804, Inserted: 3480, Skipped: 324
[+] Processed: 3814, Inserted: 3490, Skipped: 324
[+] Processed: 3824, Inserted: 3500, Skipped: 324
[+] Processed: 3834, Inserted: 3510, Skipped: 324
[+] Processed: 3844, Inserted: 3520, Skipped: 324
[+] Processed: 3856, Inserted: 3530, Skipped: 326
[+] Processed: 3870, Inserted: 3540, Skipped: 330
[+] Processed: 3880, Inserted: 3550, Skipped: 330
[+] Processed: 3890, Inserted: 3560, Skipped: 330
[+] Processed: 3900, Inserted: 3570, Skipped: 330
[+] Processed: 3914, Inserted: 3580, Skipped: 334
[+] Processed: 3924, Inserted: 3590, Skipped: 334
[+] Processed: 3934, Inserted: 3600, Skipped: 334
[+] Processed: 3944, Inserted: 3610, Skipped: 334
[+] Processed: 3956, Inserted: 3620, Skipped: 336
[+] Processed: 3966, Inserted: 3630, Skipped: 336
[+] Processed: 3976, Inserted: 3640, Skipped: 336
[+] Processed: 3986, Inserted: 3650, Skipped: 336
[+] Processed: 4000, Inserted: 3660, Skipped: 340
[+] Processed: 4010, Inserted: 3670, Skipped: 340
[+] Processed: 4022, Inserted: 3680, Skipped: 342
[+] Processed: 4034, Inserted: 3690, Skipped: 344
[+] Processed: 4044, Inserted: 3700, Skipped: 344
[+] Processed: 4056, Inserted: 3710, Skipped: 346
[+] Processed: 4066, Inserted: 3720, Skipped: 346
[+] Processed: 4076, Inserted: 3730, Skipped: 346
[+] Processed: 4086, Inserted: 3740, Skipped: 346
[+] Processed: 4096, Inserted: 3750, Skipped: 346
[+] Processed: 4106, Inserted: 3760, Skipped: 346
[+] Processed: 4116, Inserted: 3770, Skipped: 346
[+] Processed: 4128, Inserted: 3780, Skipped: 348
[+] Processed: 4138, Inserted: 3790, Skipped: 348
[+] Processed: 4148, Inserted: 3800, Skipped: 348
[+] Processed: 4162, Inserted: 3810, Skipped: 352
[+] Processed: 4172, Inserted: 3820, Skipped: 352
[+] Processed: 4182, Inserted: 3830, Skipped: 352
[+] Processed: 4194, Inserted: 3840, Skipped: 354
[+] Processed: 4206, Inserted: 3850, Skipped: 356
[+] Processed: 4216, Inserted: 3860, Skipped: 356
[+] Processed: 4232, Inserted: 3870, Skipped: 362
[+] Processed: 4244, Inserted: 3880, Skipped: 364
[+] Processed: 4254, Inserted: 3890, Skipped: 364
[+] Processed: 4266, Inserted: 3900, Skipped: 366
[+] Processed: 4276, Inserted: 3910, Skipped: 366
[+] Processed: 4286, Inserted: 3920, Skipped: 366
[+] Processed: 4296, Inserted: 3930, Skipped: 366
[+] Processed: 4310, Inserted: 3940, Skipped: 370
[+] Processed: 4320, Inserted: 3950, Skipped: 370
[+] Processed: 4332, Inserted: 3960, Skipped: 372
[+] Processed: 4344, Inserted: 3970, Skipped: 374
[+] Processed: 4354, Inserted: 3980, Skipped: 374
[+] Processed: 4364, Inserted: 3990, Skipped: 374
[+] Processed: 4374, Inserted: 4000, Skipped: 374
[+] Processed: 4384, Inserted: 4010, Skipped: 374
[+] Processed: 4394, Inserted: 4020, Skipped: 374
[+] Processed: 4406, Inserted: 4030, Skipped: 376
[+] Processed: 4420, Inserted: 4040, Skipped: 380
[+] Processed: 4430, Inserted: 4050, Skipped: 380
[+] Processed: 4440, Inserted: 4060, Skipped: 380
[+] Processed: 4450, Inserted: 4070, Skipped: 380
[+] Processed: 4460, Inserted: 4080, Skipped: 380
[+] Processed: 4470, Inserted: 4090, Skipped: 380
[+] Processed: 4480, Inserted: 4100, Skipped: 380
[+] Processed: 4490, Inserted: 4110, Skipped: 380
[+] Processed: 4500, Inserted: 4120, Skipped: 380
[+] Processed: 4514, Inserted: 4130, Skipped: 384
[+] Processed: 4524, Inserted: 4140, Skipped: 384
[+] Processed: 4534, Inserted: 4150, Skipped: 384
[+] Processed: 4544, Inserted: 4160, Skipped: 384
[+] Processed: 4554, Inserted: 4170, Skipped: 384
[+] Processed: 4564, Inserted: 4180, Skipped: 384
[+] Processed: 4576, Inserted: 4190, Skipped: 386
[+] Processed: 4586, Inserted: 4200, Skipped: 386
[+] Processed: 4596, Inserted: 4210, Skipped: 386
[+] Processed: 4606, Inserted: 4220, Skipped: 386
[+] Processed: 4620, Inserted: 4230, Skipped: 390
[+] Processed: 4630, Inserted: 4240, Skipped: 390
[+] Processed: 4640, Inserted: 4250, Skipped: 390
[+] Processed: 4650, Inserted: 4260, Skipped: 390
[+] Processed: 4660, Inserted: 4270, Skipped: 390
[+] Processed: 4670, Inserted: 4280, Skipped: 390
[+] Processed: 4680, Inserted: 4290, Skipped: 390
[+] Processed: 4690, Inserted: 4300, Skipped: 390
[+] Processed: 4700, Inserted: 4310, Skipped: 390
[+] Processed: 4712, Inserted: 4320, Skipped: 392
[+] Processed: 4722, Inserted: 4330, Skipped: 392
[+] Processed: 4732, Inserted: 4340, Skipped: 392
[+] Processed: 4742, Inserted: 4350, Skipped: 392
[+] Processed: 4752, Inserted: 4360, Skipped: 392
[+] Processed: 4762, Inserted: 4370, Skipped: 392
[+] Processed: 4772, Inserted: 4380, Skipped: 392
[+] Processed: 4782, Inserted: 4390, Skipped: 392
[+] Processed: 4792, Inserted: 4400, Skipped: 392
[+] Processed: 4802, Inserted: 4410, Skipped: 392
[+] Processed: 4812, Inserted: 4420, Skipped: 392
[+] Processed: 4822, Inserted: 4430, Skipped: 392
[+] Processed: 4832, Inserted: 4440, Skipped: 392
[+] Processed: 4842, Inserted: 4450, Skipped: 392
[+] Processed: 4852, Inserted: 4460, Skipped: 392
[+] Processed: 4862, Inserted: 4470, Skipped: 392
[+] Processed: 4874, Inserted: 4480, Skipped: 394
[+] Processed: 4884, Inserted: 4490, Skipped: 394
[+] Processed: 4894, Inserted: 4500, Skipped: 394
[+] Processed: 4906, Inserted: 4510, Skipped: 396
[+] Processed: 4916, Inserted: 4520, Skipped: 396
[+] Processed: 4926, Inserted: 4530, Skipped: 396
[+] Processed: 4936, Inserted: 4540, Skipped: 396
[+] Processed: 4946, Inserted: 4550, Skipped: 396
[+] Processed: 4956, Inserted: 4560, Skipped: 396
[+] Processed: 4966, Inserted: 4570, Skipped: 396
[+] Processed: 4976, Inserted: 4580, Skipped: 396
[+] Processed: 4986, Inserted: 4590, Skipped: 396
[+] Processed: 4996, Inserted: 4600, Skipped: 396
[+] Processed: 5006, Inserted: 4610, Skipped: 396
[+] Processed: 5016, Inserted: 4620, Skipped: 396
[+] Processed: 5026, Inserted: 4630, Skipped: 396
[+] Processed: 5036, Inserted: 4640, Skipped: 396
[+] Processed: 5046, Inserted: 4650, Skipped: 396
[+] Processed: 5056, Inserted: 4660, Skipped: 396
[+] Processed: 5066, Inserted: 4670, Skipped: 396
[+] Processed: 5076, Inserted: 4680, Skipped: 396
[+] Processed: 5086, Inserted: 4690, Skipped: 396
[+] Processed: 5096, Inserted: 4700, Skipped: 396
[+] Processed: 5108, Inserted: 4710, Skipped: 398
[+] Processed: 5118, Inserted: 4720, Skipped: 398
[+] Processed: 5128, Inserted: 4730, Skipped: 398
[+] Processed: 5138, Inserted: 4740, Skipped: 398
[+] Processed: 5148, Inserted: 4750, Skipped: 398
[+] Processed: 5160, Inserted: 4760, Skipped: 400
[+] Processed: 5170, Inserted: 4770, Skipped: 400
[+] Processed: 5180, Inserted: 4780, Skipped: 400
[+] Processed: 5190, Inserted: 4790, Skipped: 400
[+] Processed: 5200, Inserted: 4800, Skipped: 400
[+] Processed: 5210, Inserted: 4810, Skipped: 400
[+] Processed: 5220, Inserted: 4820, Skipped: 400
[+] Processed: 5230, Inserted: 4830, Skipped: 400
[+] Processed: 5240, Inserted: 4840, Skipped: 400
[+] Processed: 5250, Inserted: 4850, Skipped: 400
[+] Processed: 5260, Inserted: 4860, Skipped: 400
[+] Processed: 5270, Inserted: 4870, Skipped: 400
[+] Processed: 5282, Inserted: 4880, Skipped: 402
[+] Processed: 5292, Inserted: 4890, Skipped: 402
[+] Processed: 5302, Inserted: 4900, Skipped: 402
[+] Processed: 5314, Inserted: 4910, Skipped: 404
[+] Processed: 5326, Inserted: 4920, Skipped: 406
[+] Processed: 5336, Inserted: 4930, Skipped: 406
[+] Processed: 5346, Inserted: 4940, Skipped: 406
[+] Processed: 5356, Inserted: 4950, Skipped: 406
[+] Processed: 5366, Inserted: 4960, Skipped: 406
[+] Processed: 5376, Inserted: 4970, Skipped: 406
[+] Processed: 5386, Inserted: 4980, Skipped: 406
[+] Processed: 5396, Inserted: 4990, Skipped: 406
[+] Processed: 5406, Inserted: 5000, Skipped: 406
